Key,Page,English,Thai,Armenian,Russian,Arabic,Farsi,Georgian
planAndBilling.yourPlan.plan.freeTrial.ended,planAndBilling,"Free Trial has been ended, Please select new plan",การทดลองใช้ฟรีสิ้นสุดลงแล้ว โปรดเลือกแผนใหม่,Անվճար Փորձարկումն ավարտվել է։ Խնդրում ենք ընտրել նոր փաթեթ։,,تم إنهاء التجربة المجانية ، يرجى تحديد باقة جديدة,,
planAndBilling.yourPlan.changePlan.plan.term.label,planAndBilling,Subscription Term,เงื่อนไขการสมัครสมาชิก,Բաժանորդագրության ժամկետ,,مدة الاشتراك,,
planAndBilling.yourPlan.changePlan.plan.term.typeSubscription,planAndBilling,"{type, select, monthly {Monthly} annual {Annual}} Subscription","{type, select, monthly {รายเดือน} annual {รายปี}} การสมัครสมาชิก","{type, select, monthly {Monthly} annual {Annual}} Բաժանորդագրություն",,"{type, select, monthly {شهري} annual {سنوي}} أشتراك",,
planAndBilling.yourPlan.changePlan.plan.feature,planAndBilling,Features Available with Your Plan,ฟีเจอร์ที่ใช้ได้ในแผนของคุณ,Ձեր Փաթեթով տրամադրվող Հնարավորությունները,,الميزات المتوفرة مع باقتك,,
planAndBilling.yourPlan.changePlan.plan.feature.overdraft,planAndBilling,Overdraft,เบิกเกินบัญชี,Օվերդրաֆտ,,سحب زائد,,
planAndBilling.yourPlan.changePlan.plan.feature.notificationTimeline,planAndBilling,Notification Timeline,ระยะเวลาการแจ้งเตือน,Ծանուցումների Տարեգիր,,الجدول الزمني للإخطار,,
planAndBilling.yourPlan.changePlan.plan.feature.multimediaSupport,planAndBilling,Multimedia Support,รองรับมัลติมีเดีย,Մուլտիմեդիայի Հնարավորություն,,دعم الوسائط المتعددة,,
planAndBilling.yourPlan.changePlan.plan.feature.profileInfo,planAndBilling,Profile Info,ข้อมูลโปรไฟล์,Հաշվի հիմնական տեղեկություն,,معلومات الشخصي,,
planAndBilling.yourPlan.changePlan.plan.feature.analytics,planAndBilling,Analytics,การวิเคราะห์,Վերլուծություն,,تحليلات,,
planAndBilling.yourPlan.changePlan.plan.feature.subscribers,planAndBilling,Subscribers,สมาชิก,Բաժանորդներ,,مشتركين,,
planAndBilling.yourPlan.changePlan.plan.feature.groups,planAndBilling,Groups,กลุ่ม,Խմբեր,,مجموعات,,
planAndBilling.yourPlan.changePlan.plan.feature.plansBilling,planAndBilling,Plans & Billing,แผน & การเรียกเก็บเงิน,Փաթեթներ և Վճարումներ,,الباقات والفواتير,,
planAndBilling.yourPlan.changePlan.plan.feature.initialNotification,planAndBilling,Initial Notification,การแจ้งเตือนครั้งแรก,Սկզբնական Ծանուցում,,الإخطار الأولي,,
planAndBilling.yourPlan.changePlan.plan.feature.teamMembers,planAndBilling,Team Members,สมาชิกทีม,Թիմի Անդամներ,,أعضاء الفريق,,
planAndBilling.yourPlan.changePlan.plan.feature.rolesPermissions,planAndBilling,Roles & Permissions,บทบาทและสิทธิ์การเข้าถึง,Պաշտոններ և Թույլտվություններ,,الأدوار والأذونات,,
planAndBilling.yourPlan.changePlan.plan.feature.initialInvite,planAndBilling,Initial Invite,การเชิญครั้งแรก,Սկզբնական Ծանուցում,,دعوة الأولي,,
planAndBilling.yourPlan.paymentSummary.nextDue,planAndBilling,Next payment due on {date},กำหนดชำระครั้งต่อไปในวันที่ {date},Հաջորդ վճարման ժամկետն է {date},,الدفعة التالية المستحقة في {تاريخ},,
planAndBilling.yourPlan.paymentSummary.notRequired,planAndBilling,No payment method required,ไม่ต้องกรอกวิธีการชำระเงิน,Վճարման եղանակ չի պահանջվում,,لا طريقة الدفع المطلوبة,,
planAndBilling.paymentMethod.dialog.subTitle,planAndBilling,Please select your preferred payment method,โปรดเลือกวิธีการชำระเงินที่คุณต้องการ,Ընտրեք Ձեզ համար նախընտրելի վճարման եղանակը,,يرجى اختيار طريقة الدفع المفضلة لديك,,
planAndBilling.paymentMethod.card.creditCard,planAndBilling,Credit Card,บัตรเครดิต,Բանկային քարտ,,بطاقة الائتمان,,
planAndBilling.paymentMethod.card.paypal,planAndBilling,Paypal,Paypal,Paypal,,Paypal,,
planAndBilling.paymentMethod.deleteConfirm.body,planAndBilling,Removing it means you won’t be able to use this payment method for NotifyMe without adding it again,การลบนี้หมายความว่าคุณจะไม่สามารถใช้วิธีการชำระเงินนี้สำหรับ NotifyMe และไม่สามารถเพิ่มวิธีการชำระเงินนี้ได้อีก,"Ջնջելու դեպքում Դուք չեք կարողանա օգտագործել վճարման այս եղանակը NotifyMe-ի համար, մինչև չավելացնեք այն կրկին",,إزالته تعني أنك لن تتمكن من استخدام طريقة الدفع هذه لـ NotifyMe دون إضافتها مرة أخرى,,
planAndBilling.paymentMethod.deleteConfirm.title,planAndBilling,Remove this payment method?,ลบวิธีการชำระเงินนี้ไหม,Ջնջել այս վճարման եղանակը՞,,إزالة طريقة الدفع هذه؟,,
planAndBilling.paymentMethod.add.isDefault,planAndBilling,Set as default,ตั้งเป็นค่าเริ่มต้น,Ընտրել որպես հիմնական,,تعيين كافتراضي,,
planAndBilling.paymentMethod.addPaymentMethod,planAndBilling,Choose a different payment method,เลือกวิธีการชำระเงินอื่น,Ընտրել այլ վճարման եղանակ,,اختر طريقة دفع مختلفة,,
planAndBilling.billingDetails.form.state.empty.label,planAndBilling,Please select country,กรุณาเลือกประเทศ,Ընտրեք երկիրը,,يرجى اختيار البلد,,
planAndBilling.billingDetails.form.title.label,planAndBilling,Change Your Billing Details,เปลี่ยนรายละเอียดการเรียกเก็บเงินของคุณ,Փոխել Վճարման Մանրամասները,,تغيير تفاصيل الفواتير الخاصة بك,,
planAndBilling.billingDetails.form.subTitle.label,planAndBilling,Please add billing details,โปรดเพิ่มรายละเอียดการเรียกเก็บเงิน,Ավելացնել վճարման մանրամասները,,يرجى إضافة تفاصيل الفواتير,,
planAndBilling.billingHistory.paypal,planAndBilling,Paypal,Paypal,Paypal,,Paypal,,
planAndBilling.billingHistory.paymentStatus.reject,planAndBilling,Payment Reject,ปฏิเสธการชำระเงิน,Չեղարկել վճարումը,,رفض الدفع,,
planAndBilling.usageHistory.table.description.downgradeTo,planAndBilling,Downgrade to {name},ดาวน์เกรดเป็น {name},Նվազեցնել դեպի {name},,التخفيض إلى {اسم},,
planAndBilling.usageHistory.table.description.upgradeTo,planAndBilling,Upgrade to {name},อัพเกรดเป็น {name},Բարձրացնել դեպի {name},,الترقية إلى {اسم},,
action.remove,planAndBilling,Remove,ลบ,Ջնջել,,إزالة ,,
action.goBack,planAndBilling,Go Back,กลับ,Վերադառնալ,,عد,,
action.renew,planAndBilling,Renew,ต่ออายุ,Թարմացնել,,التجديد,,
action.upgrade,planAndBilling,Upgrade,อัพเกรด,Բարձրացնել փաթեթը,,الترقية ,,
planAndBilling.yourPlan.label,planAndBilling,Your Plan,แผนของคุณ,Ձեր փաթեթը,,باقتك,,
planAndBilling.yourPlan.plan.info.label,planAndBilling,"{numberNotifications, number} notifications / {type, select, monthly {month} annual {year}} at ${priceRatio} each","{numberNotifications, number} การแจ้งเตือน / {type, select, monthly {รายเดือน} annual {รายปี}} เฉลี่ยราคา ${priceRatio} ต่อการแจ้งเตือน","{numberNotifications, number} ծանուցումներ / {type, select, monthly {ամիս} annual {տարի}} at ${priceRatio} յուրաքանչյուրը",,"{numberNotifications, number} اشعارات/ {type, select, monthly {شهر} annual {سنة}} في ${priceRatio} كل",,
planAndBilling.yourPlan.plan.nextDue.label,,Next due on {date},รอบบิลถัดไปคือ {date},Հաջորդ վճարման օրը {date},,التالي مستحق في {date},,
planAndBilling.yourPlan.plan.freeTrial.label,planAndBilling,"{trialPeriodCount, number} Day Free Trial","{trialPeriodCount, number} วัน ทดลองฟรี","{trialPeriodCount, number} Օր Անվճար Փորձարկում",,"{trialPeriodCount, number} يوم التجربة المجانية ",,
planAndBilling.yourPlan.plan.freeTrial.info.label,planAndBilling,"{notesQuantity, plural, one {# notification} other {# notifications}} for {trialPeriodCount, plural, one {# day} other {# days}} at $0.00 each","{notesQuantity, plural, one {# การแจ้งเตือน} other {#การแจ้งเตือน}} สำหรับ {trialPeriodCount, plural, one {# วัน} other {# วัน}} เฉลี่ยราคา $0.00 ต่อการแจ้งเตือน","{notesQuantity, plural, one {# ծանուցում} other {# ծանուցումներ}} {trialPeriodCount, plural, one {# օր} other {# օր}} $0.00 յուրաքանչյուրը",,"{notesQuantity, plural, one {# اشعار} other {# اشعارات}} بسبب {trialPeriodCount, plural, one {# يوم} other {# أيام}} في 0.00 دولار لكل منهما",,
planAndBilling.yourPlan.plan.info.price.label,planAndBilling,"{type, select, monthly {Monthly} annual {Annual}} payment of ${price, number}","{type, select, monthly {รายเดือน} annual {รายปี}} การชำระเงินของ ${price, number}","{type, select, monthly {Ամսական} annual {Տարեկան}} ${price, number} վճարում",,"{type, select, monthly {شهري} annual {سنوي}} دفع ${price, number}",,
planAndBilling.yourPlan.plan.info.expiresOn.label,planAndBilling,"Expires on {date} ({remainDays, plural, one {# day} other {# days}} from now)","หมดอายุในวันที่ {date} ({remainDays, plural, one {# วัน} other {# วัน}} ต่อจากนี้)","Սպառվում է այսօրվանից սկսած {date} ({remainDays, plural, one {# օր} other {# օր}} հետո  )",,"تنتهي صلاحيته في {date} ({remainDays, plural, one {# يوم} other {# أيام}} من الان )",,
planAndBilling.yourPlan.plan.info.nextDue.label,planAndBilling,Next due on {date},รอบบิลถัดไปคือ {date},Հաջորդ վճարման օրը {date},,التالي مستحق في {date},,
planAndBilling.yourPlan.notificationsEarned.label,planAndBilling,Notifications Earned,จำนวนที่สามารถส่งการแจ้งเตือน,Չօգտագործված Ծանուցումներ,,الإخطارات المكتسبة,,
planAndBilling.yourPlan.notificationsSent.label,planAndBilling,Notifications Sent,ส่งการแจ้งเตือนแล้ว,Ուղարկված Ծանուցումներ,,تم إرسال الإشعارات,,
planAndBilling.yourPlan.notificationsBalance.label,planAndBilling,Notifications Balance,จำนวนคงเหลือที่สามารถส่งการแจ้งเตือน,Ծանուցումների մնացորդ,,ميزان الإخطارات,,
planAndBilling.yourPlan.changePlan.changeToFreeTier,planAndBilling,CHANGE TO FREE TIER,เปลี่ยนเป็นการใช้งานฟรี,Անցնել Անվճար TIER-ի,,التغيير إلى الإطارات المجانية,,
planAndBilling.yourPlan.changePlan.changeToFreeTier.subTitle,planAndBilling,"{quantity, number} notifications / mo | No Teams, Groups or Multimedia","{quantity, number} การแจ้งเตือน / เดือน| ไม่สามารถเข้าถึงทีม, กลุ่ม หรือ มัลติมีเดีย","{quantity, number} ծանուցումներ / ամս․ | Առանց Թիմ, Խմբեր և Մուլտիմեդիա",,"{quantity, number} اشعارات / شهر | لا فرق ، مجموعات",,
planAndBilling.yourPlan.changePlan.payment.notRequired,,No payment method required,ไม่ต้องกรอกวิธีการชำระเงิน,Չի պահանջում վճարման եղանակ,,لا طريقة الدفع المطلوبة,,
planAndBilling.yourPlan.changePlan.notAllowToDowngrade,planAndBilling,"Currently, we do not allow plan downgrades",ขณะนี้เราไม่อนุญาตให้มีการดาวน์เกรดแผน,"Ներկայումս, մենք թույլ չենք տալիս անցումը ավելի ցածր փաթեթի",,حاليًا ، لا نسمح بتخفيضات الخطة,,
planAndBilling.yourPlan.changePlan.label,planAndBilling,Choose Your New Plan,เลือกแผนใหม่ที่คุณต้องการ,Ընտրեք Ձեր Նոր Փաթեթը,,اختر خطتك الجديدة,,
planAndBilling.yourPlan.changePlan.subTitle,planAndBilling,Choose the plan that makes sense for your business and your anticipated notification volume,เลือกแผนและปริมาณการแจ้งเตือนที่เหมาะสมสำหรับธุรกิจของคุณ,Խնդրում ենք ուշադիր լինեն նոր փաթեթն ընտրելիս,,اختر الخطة التي تناسب أعمالك وحجم الإشعارات المتوقع,,
planAndBilling.yourPlan.changePlan.plan.label,planAndBilling,Choose your new Plan,เลือกแผนใหม่ที่คุณต้องการ,Ընտրեք Ձեր նոր փաթեթը,,اختر خطتك الجديدة,,
planAndBilling.yourPlan.changePlan.plan.section.description,planAndBilling,"Includes Teams, Groups and Multimedia functionality",รวมถึงทีม กลุ่มและฟังก์ชั่นมัลติมีเดีย,"Ներառում է Թիմեր, Խմբեր և Մուլտիմեդիա ",,يشمل فرق ، وظائف المجموعات والوسائط المتعددة,,
planAndBilling.yourPlan.changePlan.billingDetails.label,planAndBilling,Please add billing details,โปรดเพิ่มรายละเอียดการเรียกเก็บเงิน,Ավելացրեք վճարման մանրամասները,,يرجى إضافة تفاصيل الفواتير,,
planAndBilling.yourPlan.changePlan.paymentMethod.label,planAndBilling,Please select a payment method,โปรดเลือกวิธีการชำระเงิน,Ավելացրեք վճարման եղանակը,,الرجاء اختيار طريقة الدفع,,
planAndBilling.yourPlan.changePlan.termAndService.label,planAndBilling,"By completing the transaction, you agree to these <b1>Terms of Service.</b1>",คุณยอมรับ<b1>ข้อกำหนดในการให้บริการ </b1>โดยการทำธุรกรรมนี้ให้เสร็จสิ้น,"Գործարքն ավարտին հասցնելով, Դուք համաձայնում եք  <b1>Ծառայությունների մատուցման պայմաններին.</b1> ",,من خلال إتمام المعاملة ، فإنك توافق على <b1> شروط الخدمة هذه. </ b1>,,
planAndBilling.yourPlan.changePlan.totalBilled.label,planAndBilling,Total billed:,การเรียกเก็บเงินทั้งหมด:,Ընդհանուր գանձվում է։,,إجمالي الفاتورة:,,
planAndBilling.yourPlan.changePlan.recurring.label,planAndBilling,"Recurring monthly payment of ${price, number}","ชำระรายเดือนเป็นจำนวน ${price, number}","Ամսական կրկնվող վճարում ${price, number}",,الدفعة الشهرية المتكررة $ {price، number},,
planAndBilling.yourPlan.changePlan.pleaseSelectPlan.label,planAndBilling,Please select your new plan,โปรดเลือกแผนใหม่ที่คุณต้องการ,Ընտրեք Ձեր նոր փաթեթը,,يرجى اختيار باقتك الجديدة,,
planAndBilling.yourPlan.changePlan.plan.info.label,planAndBilling,"{numberNotifications, number} notifications / {type, select, monthly {month} annual {year}} at ${priceRatio, number} each","{numberNotifications, number} การแจ้งเตือน / {type, select, monthly {รายเดือน} annual {รายปี}} เฉลี่ยราคา ${priceRatio, number} ต่อการแจ้งเตือน","{numberNotifications, number} ծանուցումներ / {type, select, monthly {ամիս} annual {տարի}} ${priceRatio, number} յուրաքանչյուրը",,"{numberNotifications, number} أشعارات/ {type, select, monthly {شهر} annual {سنة}} مع${priceRatio, number} كل",,
planAndBilling.yourPlan.paymentSummary.dialog.title,planAndBilling,Payment Summary,สรุปการชำระเงิน,Վճարման Ամփոփագիր,,ملخص الدفع,,
planAndBilling.yourPlan.paymentSummary.yourPlan,planAndBilling,Your Plan,แผนของคุณ,Ձեր Փաթեթը,,باقتك,,
planAndBilling.yourPlan.changePlanSuccess.title,planAndBilling,Payment Successful!,การชำระเงินสำเร็จ!,Ձեր վճարումը հաջողված է!,,الدفع الناجح!,,
planAndBilling.yourPlan.changePlanSuccess.startOn,,Your new plan will be started on {date},แพลนใหม่ของคุณจะเริ่มใช้ในวันที่ {date},Ձեր նոր փաթեթը կգործի սկսած {date},,سيتم بدء باقنك الجديدة في,,
planAndBilling.yourPlan.changePlanSuccess.startNow,,Start your new plan now!,เริ่มใช้แผนใหม่ของคุณได้เลย,Գործարկեք Ձեր նոր փաթեթը հիմա,,ابدأ خطتك الجديدة الآن!,,
planAndBilling.yourPlan.changePlanSuccess.action,,"Your plan is {type, select, downgraded {downgraded} upgraded {upgraded}} from {plan} to","แผนของคุณคือ  {type, select, downgraded {ดาวน์เกรด} upgraded {อัพเกรด }} จาก {plan} เป็น","Ձեր փափեթը {type, select, downgraded {downgraded} բարձրացվել է {upgraded}} ից {plan} դեպի",,,,
planAndBilling.yourPlan.changePlanSuccess.renewAction,,Your plan is,แผนของคุณคือ,Ձեր փաթեթն է,,باقنك هي,,
planAndBilling.yourPlan.changePlanSuccess.yourNewPlan,planAndBilling,Your new plan,แผนใหม่ของคุณ,Ձեր նոր փաթեթն է <b>{plan}</b>,,باقنك الجديدة,,
planAndBilling.yourPlan.changePlanSuccess.planInformation.monthly,planAndBilling,"<b>${price, number} / mo, {quantity, number} notifications / mo</b> at ${pricePerNotification} / notification","<b>${price, number} / เดือน, {quantity, number} การแจ้งเตือน / เดือน</b> เฉลี่ยราคา ${pricePerNotification} / การแจ้งเตือน","<b>${price, number} / ամս․, {quantity, number} ծանուցումներ / ամս․</b> ${pricePerNotification} / ծանուցումը",,"<b>${price, number} / شهر, {quantity, number} أشعارات/ mo</b> في ${pricePerNotification} / أشعار",,
planAndBilling.yourPlan.changePlanSuccess.planInformation.annual,planAndBilling,"<b>${price, number} / yr, {quantity, number} notifications / yr</b> at ${pricePerNotification} / notification","<b>${price, number} / ปี, {quantity, number} การแจ้งเตือน  / ปี</b> เฉลี่ยราคา ${pricePerNotification} / การแจ้งเตือน","<b>${price, number} / տ․, {quantity, number} ծանուցումներ / տ․</b> ${pricePerNotification} / ծանուցումը",,"<b>${price, number} / سنة, {quantity, number} أشعارات/ yr</b> في ${pricePerNotification} / أشعار",,
planAndBilling.yourPlan.changePlanSuccess.startDate,planAndBilling,Start on <b>{date}</b>,เริ่มจาก <b>{date}</b>,Սկսած <b>{date}</b>,,ابدأ في <b> {date} </b>,,
planAndBilling.yourPlan.changePlanSuccess.endDate,planAndBilling,to <b>{date}</b>,ถึง <b>{date}</b>,մինչև <b>{date}</b>,,إلى <b> {date} </b>,,
planAndBilling.yourPlan.changePlanFailure.title,planAndBilling,Unsuccessful!,ไม่สำเร็จ!,Վճարումը չի հաջողվել!,,! غير ناجحة,,
planAndBilling.yourPlan.changePlanFailure.body,planAndBilling,Sorry! Your payment was declined{newLine}Please enter another payment method or try again later,ขออภัย การชำระเงินของคุณถูกปฏิเสธ {newLine} โปรดกรอกวิธีการชำระเงินแบบอื่นหรือลองอีกครั้ง,"Ձեր բանկային քարտից գանձում չի կատարվել {newLine} Խնդրում ենք կապվել Ձեր բանկի հետ, կամ փոխել վճարման եղանակը",,لم يتم تحصيل رسوم من بطاقتك الائتمانية {newLine} يرجى الاتصال بالمصرف الذي تتعامل معه أو إدخال طريقة دفع أخرى,,
planAndBilling.yourPlan.paymentMethod.expires,planAndBilling,<b>Expires</b> {date},<b>หมดอายุ</b> {date},<b>Ավարտվում է</b> {date},,<b> تنتهي الصلاحية </b> {date},,
planAndBilling.paymentMethod.label,planAndBilling,Payment Method,วิธีการชำระเงิน,Վճարման Եղանակ,,طريقة الدفع او السداد,,
planAndBilling.cancelPlan.label,planAndBilling,Cancel Plan,ยกเลิกแผน,Կասեցնել Փաթեթը,,الغاء الباقة,,
planAndBilling.cancelPlan.details,planAndBilling,This will revert your paid plan to our <b>Free Tier.</b> <b1>You will lose access to using groups and teams and the ability to send multimedia notifications.</b1>,สิ่งนี้จะเปลี่ยนแผนแบบชำระเงินเป็นแผนสำหรับ <b>ใช้ฟรี</b> <b1>คุณจะไม่สามารถเข้าถึงกลุ่มและทีม รวมถึงไม่สามารถส่งการแจ้งเตือนแบบมัลติมีเดียได้</b1>,"Սա կփոփոխի Ձեր վճարովի փաթեթը դեպի <b>Free Tier.</b> <b1> Դուք այլևս չեք ունենա խմբեր և թիմեր մուտք գործելու, օգտագործելու, ինչպես նաև մուլտիմեդիա պարունակող ծանուցումներ ուղարկելու հնարավորություն</b1>",,سيؤدي هذا إلى إعادة باقتك المدفوعة إلى <b> المستوى المجاني. </b> <b1> ستفقد إمكانية الوصول إلى استخدام المجموعات والفرق والقدرة على إرسال إشعارات الوسائط المتعددة. </b1>,,
planAndBilling.cancelPlan.confirmDialog.body.label,planAndBilling,Cancellation will be effective at the end of your current billing period on {date},การยกเลิกจะมีผลหลังจากวันสิ้นสุดรอบบิลปัจจุบันของคุณในวันที่ {date},Կասեցումն առավել արդյունավետ է վճարման շրջանի ավարտին {date},,سيكون الإلغاء ساري المفعول في نهاية فترة الفوترة الحالية بتاريخ {date},,
planAndBilling.billingDetails.label,planAndBilling,Billing Details,รายละเอียดการชำระเงิน,Վճարման Մանրամասներ,,تفاصيل الفاتورة,,
planAndBilling.billingDetails.form.firstName.label,planAndBilling,First Name,ชื่อ,Անուն,,الاسم الاول,,
planAndBilling.billingDetails.form.lastName.label,planAndBilling,Last Name,นามสกุล,Ազգանուն,,الكنية,,
planAndBilling.billingDetails.form.company.label,planAndBilling,Company,บริษัท,Կազմակերպություն,,الشركة,,
planAndBilling.billingDetails.form.address1.label,planAndBilling,Address 1,ที่อยู่ 1,Հասցե 1,,العنوان 1,,
planAndBilling.billingDetails.form.address2.label,planAndBilling,Address 2,ที่อยู่ 2,Հասցե 2,,العنوان 2,,
planAndBilling.billingDetails.form.country.label,planAndBilling,Country,ประเทศ,Երկիր,,بلد,,
planAndBilling.billingDetails.form.state.label,planAndBilling,State/Province,รัฐ/จังหวัด,Մարզ/Տարածաշրջան,,الولاية / المقاطعة,,
planAndBilling.billingDetails.form.city.label,planAndBilling,City,เมือง,Քաղաք,,المدينة,,
planAndBilling.billingDetails.form.zipCode.label,planAndBilling,ZIP Code,รหัสไปรษณีย์,ZIP կոդ,,الرمز البريدي,,
planAndBilling.billingDetails.form.email.label,planAndBilling,Email,อีเมล์,Էլ․ փոստ,,البريد الإلكتروني,,
planAndBilling.billingDetails.form.phone.label,planAndBilling,Phone,หมายเลขโทรศัพท์,Հեռախոսահամար,,هاتف,,
planAndBilling.button.change,planAndBilling,Change,เปลี่ยน,Փոփոխել,,تبديل,,
planAndBilling.paymentMethod.empty,planAndBilling,Add your payment method by click <b>change</b> button,เปลี่ยนวิธีการชำระเงินโดยการคลิกปุ่ม <b>เปลี่ยน</b>,Ավելացրեք վճարման եղանակը սեղմելով <b>փոխել</b> կոճակը,,أضف طريقة الدفع الخاصة بك عن طريق النقر فوق الزر<b>change</b>,,
